19,591087
49,90539
53,72336
32,028572
57,851322
59,88149
46,906162
42,27616
34,92612
43,71255
51,029488
16,315144
22,04037
34,24664
54,441372
50,742886
36,024563
12,8875675
10,223977
11,22962
34,92622
42,585438
53,655403
34,39184
56,168472
24,584408
25,48109
51,546455
37,408165
59,708347
37,26201
16,296124
29,17841
58,93939
24,79757
39,299862
64,35454
34,831
33,88261
16,511383
55,150013
32,382626
56,874447
54,569294
40,73159
55,908424
28,784096
71,029144
32,730873
28,994137
18,5173
42,923847
28,457119
7,1722627
62,453068
49,250942
30,567755
49,217983
27,016651
37,215336
28,479656
42,566463
35,21542
40,885662
59,910603
48,92477
51,10493
44,457413
47,622555
50,306694
9,52547
10,76733
12,159672
53,149395
21,155512
54,416084
45,69326
55,73424
41,917973
54,18005
34,176785
39,335934
49,017067
43,96061
32,737026
40,154533
9,687441
28,23732
49,89107
55,40543
35,809353
35,535988
58,414852
55,63963
45,737473
25,787165
55,46103
26,647228
65,22226
24,490387
17,272894
23,116945
35,988007
36,86294
12,605537
40,38018
18,043648
26,601439
50,643566
70,97343
54,450096
26,686335
20,621838
31,924555
47,327232
48,8886
28,197643
11,24498
63,26482
71,05318
15,175737
21,751648
65,369446
20,136763
30,797997
38,80106
13,206804
42,390858
44,50629
29,970371
45,006443
29,031815
14,572462
15,49346
10,491508
32,282127
14,66028
30,137543
50,845196
57,534946
12,149218
33,01038
37,074696
37,309635
43,757607
45,408123
59,596905
17,963814
14,371754
23,427118
31,71204
33,684788
12,893784
37,50846
43,071995
41,246387
56,815678
37,80692
32,20926
47,781105
39,572796
65,67616
29,447044
42,33645
15,15414
54,766346
53,983986
42,77749
50,794384
61,145092
61,58006
38,66355
21,487885
35,27882
40,61092
49,93906
56,16389
17,76921
68,28229
33,88451
36,6342
60,566273
39,08532
19,977442
44,45174
67,322914
38,696896
35,047626
45,214855
61,168552
17,747536
9,349192
61,04884
62,44389
42,642628
68,52171
27,576385
51,807854
36,522793
17,824974
54,79749
65,40859
32,125065
56,823788
27,000639
55,842625
12,0150385
42,848568
34,507256
50,695683
24,529774
28,153301
57,944965
11,106975
13,221235
48,965267
20,888618
40,251595
22,921091
53,814907
46,02976
45,320385
38,052383
47,12461
57,797363
39,496742
48,744106
52,930023
53,692627
36,79002
37,858845
30,256474
40,954365
21,343727
16,872578
13,27157
46,925564
53,738003
53,837944
39,112225
39,791965
27,459295
33,31044
40,648922
41,18159
36,26355
56,52906
58,93727
62,468082
30,4194
21,94258
48,936337
35,97897
54,927708
59,955532
63,44196
40,869427
48,75172
45,414013
35,74354
20,72633
46,90201
38,68047
61,101665
64,0407
42,455647
50,50603
37,718967
55,50684
68,01211
29,08091
41,830894
49,085117
39,069912
19,735367
8,767355
38,207737
62,989063
66,593414
15,117781
16,358824
22,668564
27,797438
41,55067
15,960909
53,82706
58,707043
31,731956
27,408012
49,439606
42,719532
38,76211
40,648685
50,531803
36,53835
27,996105
33,69885
35,314026
28,602465
33,794586
49,895523
39,227894
23,1863
52,635044
69,03288
51,278946
55,6359
59,06245
50,67364
24,801561
26,489761
52,48518
22,770632
48,229153
28,957092
57,346424
49,961407
25,645569
54,441746
54,470837
4,1117697
51,96018
14,637293
35,99623
48,858334
34,684536
40,571766
64,48758
49,767624
35,98229
